ROWS	BINARY	LINEAR	EXP1	EXP2	EXP1/EXP2
2^1	1007200	4651309	1000050	997450	
2^2	980000	4320493	999333	1004800	
2^3	0	3961477	1000100	764350	
2^4	1002800	3912824	1000050	1000050	
2^5	1004900	3678449	1000000	998280	
2^6	999800	3492381	977400	1001016	
2^7	1000700	3620047	997950	1001392	
2^8	999850	3641862	1106100	1000451	
2^9	999995	4552396	1001114	999976	
2^10	1009223	4325332	1000000	1477367	
2^11	3915182	4573334	1733331	1826243	
2^12	17750354	6293163	6760481	3926687	
2^13	44613158	5586666	23927229	11746345	
